origin_device,origin_date,follower_device,follower_date,lag_days,origin_final_tier,follower_final_tier,origin_score,follower_score,pair_score,follower_role,follower_raw_axes_present,follower_csv_axes_present,support_class
USER_ORIGIN_MINI1,2025-08-02,USER_DEVICE_11PRO,2025-08-02,0,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,420.325,294.117,399.198,USER_CLUSTER_SUPPORT,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-07,USER_DEVICE_11PRO,2025-08-08,1,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,418.6,294.046,398.696,USER_CLUSTER_SUPPORT,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-01,USER_BRIDGE_15G,2025-08-01,0,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,400.317,288.423,398.502,BRIDGE_TO_LATER_JOKER,8,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-06,USER_DEVICE_MINI2,2025-08-06,0,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,317.748,318.889,398.326,USER_CLUSTER_SUPPORT,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-05,USER_DEVICE_11PRO,2025-08-08,3,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,410.032,294.046,396.554,USER_CLUSTER_SUPPORT,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-06,EXT_CONTACT_D,2025-08-07,1,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,317.748,316.499,395.936,EXTERNAL_CONTACT_KNOWN,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-08,USER_DEVICE_11PRO,2025-08-08,0,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,407.029,294.046,395.803,USER_CLUSTER_SUPPORT,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-06,EXT_CONTACT_D,2025-08-06,0,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,317.748,315.142,394.579,EXTERNAL_CONTACT_KNOWN,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-04,EXT_NO_CONTACT_A,2025-08-07,3,A_CROSS_CORE_0804,B_RAW_WINDOW_SUPPORT,420.684,277.204,394.375,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,9,0,RAW_ONLY
USER_ORIGIN_MINI1,2025-08-01,USER_DEVICE_11PRO,2025-08-02,1,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,400.317,294.117,394.196,USER_CLUSTER_SUPPORT,9,9,RAW_AND_CSV_RESULT_SUPPORT
